CustomerID,Age,Gender,Tenure,Annual_Income,Spending_Score,Credit_Score,Online_Activity,True_Segment
1000,52,Male,8,3247.810389866344,1.0,309,5.0,Premium-Loyalists
1001,42,Male,34,87326.82290708656,100.0,300,5.0,Digital-Shoppers
1002,54,Male,59,63035.383808387145,100.0,309,5.0,Digital-Shoppers
1003,67,Male,18,24283.525137319884,100.0,775,3.8,Budget-Conscious
1004,41,Male,95,20981.835899226422,1.0,300,5.0,Premium-Loyalists
1005,41,Female,59,9548.177786580998,1.0,300,5.0,Premium-Loyalists
1006,68,Female,27,28886.72247898912,100.0,835,4.9,Budget-Conscious
1007,56,Female,16,31026.233383973955,100.0,850,4.9,Budget-Conscious
1008,37,Male,10,15115.592066050045,1.0,307,5.0,Premium-Loyalists
1009,53,Male,104,34707.866162071274,100.0,831,4.6,Budget-Conscious
1010,38,Male,76,59866.76904772244,100.0,304,5.0,Digital-Shoppers
1011,38,Female,22,112762.27845677908,1.0,307,1.0,Credit-Reliant
1012,48,Female,16,110687.37217207754,1.0,335,1.0,Credit-Reliant
1013,18,Female,12,31319.612981902836,100.0,837,4.5,Budget-Conscious
1014,19,Male,75,3282.1690739255723,1.0,315,5.0,Premium-Loyalists
1015,36,Female,84,72527.28941548805,100.0,300,5.0,Digital-Shoppers
1016,29,Male,51,102899.6170901834,1.0,483,1.0,Credit-Reliant
1017,49,Female,1,18869.57876631559,1.0,300,5.0,Premium-Loyalists
1018,31,Female,27,68963.53848053156,100.0,300,5.0,Digital-Shoppers
1019,23,Female,67,46965.523008316966,100.0,833,4.1,Budget-Conscious
1020,66,Female,12,9839.795522337381,100.0,839,3.9,Budget-Conscious
1021,41,Male,30,22880.585444767166,1.0,305,5.0,Premium-Loyalists
1022,46,Female,9,8122.941374665948,1.0,319,5.0,Premium-Loyalists
1023,23,Female,53,59857.253755023696,100.0,300,5.0,Digital-Shoppers
1024,36,Male,61,68376.76697687071,100.0,300,5.0,Digital-Shoppers
1025,46,Male,54,1778.888020604881,1.0,321,5.0,Premium-Loyalists
1026,27,Male,37,22429.959839744846,100.0,832,4.7,Budget-Conscious
1027,50,Male,65,73352.44890879217,100.0,300,5.0,Digital-Shoppers
1028,35,Male,42,46062.63641833895,100.0,813,3.7,Budget-Conscious
1029,40,Female,49,32913.83780355784,100.0,838,4.8,Budget-Conscious
1030,35,Male,4,856.1276966754617,1.0,305,5.0,Premium-Loyalists
1031,72,Male,64,105425.75471429035,1.0,442,1.1,Credit-Reliant
1032,44,Female,79,55995.61171171175,100.0,300,5.0,Digital-Shoppers
1033,29,Female,51,9157.359236323644,1.0,300,5.0,Premium-Loyalists
1034,57,Female,91,98392.6155573962,1.0,408,1.0,Credit-Reliant
1035,26,Male,72,67919.7989396167,86.24782842327642,300,5.0,Digital-Shoppers
1036,48,Female,60,60964.520820976555,100.0,314,5.0,Digital-Shoppers
1037,18,Female,87,72410.70368781085,100.0,317,5.0,Digital-Shoppers
1038,25,Male,79,101796.85418749526,1.0,438,1.0,Credit-Reliant
1039,47,Male,91,19509.487244565993,100.0,844,4.9,Budget-Conscious
1040,56,Female,31,5875.7135251059535,1.0,300,5.0,Premium-Loyalists
1041,47,Female,103,15268.039371935321,1.0,300,5.0,Premium-Loyalists
1042,43,Female,111,101999.35055678134,1.0,315,1.0,Credit-Reliant
1043,40,Female,72,103462.08581747094,1.0,378,1.1,Credit-Reliant
1044,22,Female,94,69022.06252137167,100.0,300,5.0,Digital-Shoppers
1045,34,Female,58,64489.99402698462,100.0,316,5.0,Digital-Shoppers
1046,38,Male,119,103860.45847906481,1.0,308,1.0,Credit-Reliant
1047,60,Male,106,62095.36562309224,100.0,314,5.0,Digital-Shoppers
1048,50,Male,82,73018.72467457019,100.0,300,5.0,Digital-Shoppers
1049,18,Female,4,9560.198687908533,1.0,300,5.0,Premium-Loyalists
1050,49,Female,111,28319.63399058101,100.0,850,5.0,Budget-Conscious
1051,39,Female,107,27408.84552611542,1.0,312,5.0,Premium-Loyalists
1052,34,Male,22,68083.29531037301,100.0,300,5.0,Digital-Shoppers
